county,county_fips,state_id,state_name,lat,lng,population
Concho,48095,TX,Texas,31.3265,-99.864,3018
Sherman,31163,NE,Nebraska,41.2206,-98.9762,3015
Lincoln,20105,KS,Kansas,39.0453,-98.2077,3013
Perkins,46105,SD,South Dakota,45.4905,-102.4757,2996
Glascock,13125,GA,Georgia,33.2293,-82.6107,2984
Fallon,30025,MT,Montana,46.334,-104.4174,2975
Franklin,31061,NE,Nebraska,40.1763,-98.9528,2970
Rush,20165,KS,Kansas,38.5232,-99.3092,2953
Collingsworth,48087,TX,Texas,34.9649,-100.27,2939
Clay,13061,GA,Georgia,31.6263,-84.9801,2931
Douglas,46043,SD,South Dakota,43.3869,-98.3661,2913
Sierra,6091,CA,California,39.5804,-120.5161,2898
Schleicher,48413,TX,Texas,30.8975,-100.5385,2898
Copper River,2066,AK,Alaska,61.8834,-143.968,2894
Perkins,31135,NE,Nebraska,40.8509,-101.6496,2889
Brown,31017,NE,Nebraska,42.43,-99.9295,2887
Nelson,38063,ND,North Dakota,47.9217,-98.192,2864
Cochran,48079,TX,Texas,33.6042,-102.8285,2860
Jewell,20089,KS,Kansas,39.7847,-98.2183,2854
Ness,20135,KS,Kansas,38.4794,-99.9162,2838
Decatur,20039,KS,Kansas,39.7847,-100.4599,2826
Edwards,20047,KS,Kansas,37.8876,-99.3122,2822
Trego,20195,KS,Kansas,38.9143,-99.8728,2802
Logan,20109,KS,Kansas,38.9173,-101.1484,2789
Hitchcock,31087,NE,Nebraska,40.1763,-101.0423,2788
Ziebach,46137,SD,South Dakota,44.9804,-101.6658,2767
Aurora,46003,SD,South Dakota,43.718,-98.5616,2757
Wayne,49055,UT,Utah,38.3243,-110.9039,2698
Harmon,40057,OK,Oklahoma,34.7441,-99.8463,2663
Morton,20129,KS,Kansas,37.1914,-101.7992,2656
Gove,20063,KS,Kansas,38.9161,-100.483,2650
Pawnee,31133,NE,Nebraska,40.1315,-96.2371,2640
Cheyenne,20023,KS,Kansas,39.7858,-101.7312,2639
Frontier,31063,NE,Nebraska,40.5301,-100.3942,2636
Chase,20017,KS,Kansas,38.302,-96.5939,2604
Butte,16023,ID,Idaho,43.7229,-113.1721,2603
Webster,13307,GA,Georgia,32.0468,-84.5511,2587
Hamilton,20075,KS,Kansas,37.9991,-101.7912,2552
Haines,2100,AK,Alaska,59.1199,-135.5,2547
McIntosh,38051,ND,North Dakota,46.1118,-99.4412,2535
Sheridan,20179,KS,Kansas,39.3503,-100.4418,2515
Wrangell,2275,AK,Alaska,56.3317,-132.0223,2510
Hettinger,38041,ND,North Dakota,46.4325,-102.4603,2510
Denali,2068,AK,Alaska,63.6714,-150.0118,2502
Elk,20049,KS,Kansas,37.4537,-96.2441,2502
Rawlins,20153,KS,Kansas,39.7852,-101.0757,2490
Kiowa,20097,KS,Kansas,37.5582,-99.2861,2483
Kidder,38043,ND,North Dakota,46.9801,-99.7801,2468
Graham,20065,KS,Kansas,39.3497,-99.8832,2464
Liberty,30051,MT,Montana,48.5617,-111.0246,2455
Rich,49033,UT,Utah,41.6323,-111.2445,2415
Renville,38075,ND,North Dakota,48.719,-101.6578,2387
Niobrara,56027,WY,Wyoming,43.0565,-104.4754,2377
Sanborn,46111,SD,South Dakota,44.0234,-98.0914,2372
Greeley,31077,NE,Nebraska,41.5674,-98.5212,2361
Grant,38037,ND,North Dakota,46.3583,-101.6397,2318
McPherson,46089,SD,South Dakota,45.7664,-99.2214,2316
Faulk,46049,SD,South Dakota,45.071,-99.1453,2315
Griggs,38039,ND,North Dakota,47.4573,-98.237,2314
Potter,46107,SD,South Dakota,45.0645,-99.9573,2311
Sedgwick,8115,CO,Colorado,40.8759,-102.3518,2306
Quitman,13239,GA,Georgia,31.8673,-85.0188,2290
Divide,38023,ND,North Dakota,48.8149,-103.4872,2289
Adams,38001,ND,North Dakota,46.0968,-102.5285,2271
Eddy,38027,ND,North Dakota,47.7176,-98.9016,2262
Garfield,53023,WA,Washington,46.4316,-117.5452,2258
Jeff Davis,48243,TX,Texas,30.7154,-104.14,2245
Miner,46097,SD,South Dakota,44.022,-97.6102,2213
Highland,51091,VA,Virginia,38.3623,-79.5685,2202
Towner,38095,ND,North Dakota,48.6855,-99.2458,2191
Culberson,48109,TX,Texas,31.447,-104.5173,2183
Dickens,48125,TX,Texas,33.6166,-100.7789,2182
Cimarron,40025,OK,Oklahoma,36.7483,-102.5177,2159
Burke,38013,ND,North Dakota,48.791,-102.5182,2142
Robertson,21201,KY,Kentucky,38.5188,-84.052,2139
Wheatland,30107,MT,Montana,46.4663,-109.8445,2138
Hoonah-Angoon,2105,AK,Alaska,58.2884,-135.643,2135
Wichita,20203,KS,Kansas,38.4821,-101.3474,2112
Oldham,48359,TX,Texas,35.405,-102.6029,2110
Menard,48327,TX,Texas,30.8898,-99.8206,2108
Keweenaw,26083,MI,Michigan,47.628,-88.4346,2102
Garfield,31071,NE,Nebraska,41.9144,-98.9914,2081
Mellette,46095,SD,South Dakota,43.5813,-100.76,2065
Stanton,20187,KS,Kansas,37.563,-101.7842,2030
Jerauld,46073,SD,South Dakota,44.0663,-98.6296,2009
Clark,20025,KS,Kansas,37.2355,-99.8203,2006
Buffalo,46017,SD,South Dakota,44.0763,-99.2049,2005
Worth,29227,MO,Missouri,40.4791,-94.4221,2001
Gosper,31073,NE,Nebraska,40.5148,-99.8307,2001
Cheyenne,8017,CO,Colorado,38.8279,-102.6035,1999
De Baca,35011,NM,New Mexico,34.3425,-104.412,1995
Judith Basin,30045,MT,Montana,47.0455,-110.266,1968
Oliver,38065,ND,North Dakota,47.1153,-101.3403,1962
Armstrong,48011,TX,Texas,34.9649,-101.3574,1950
Edwards,48137,TX,Texas,29.9827,-100.3047,1944
Haakon,46055,SD,South Dakota,44.2944,-101.54,1935
Dundy,31057,NE,Nebraska,40.1762,-101.688,1928
Garden,31069,NE,Nebraska,41.6194,-102.3354,1916
Dolores,8033,CO,Colorado,37.7517,-108.5174,1896
Gilliam,41021,OR,Oregon,45.3782,-120.2108,1896
Boyd,31015,NE,Nebraska,42.8997,-98.7665,1882
Hodgeman,20083,KS,Kansas,38.0875,-99.8979,1872
Piute,49031,UT,Utah,38.3367,-112.1273,1870
Eureka,32011,NV,Nevada,39.9839,-116.2686,1839
McCone,30055,MT,Montana,47.6452,-105.7954,1826
Steele,38091,ND,North Dakota,47.4562,-97.7246,1817
Golden Valley,38033,ND,North Dakota,46.9402,-103.8466,1796
Meagher,30059,MT,Montana,46.5982,-110.8857,1795
Deuel,31049,NE,Nebraska,41.1116,-102.3339,1770
Comanche,20033,KS,Kansas,37.1913,-99.2718,1759
Logan,38047,ND,North Dakota,46.4573,-99.4774,1743
Daniels,30019,MT,Montana,48.7838,-105.5485,1705
Sherman,41055,OR,Oregon,45.4052,-120.6894,1686
Powder River,30075,MT,Montana,45.395,-105.6302,1634
Cottle,48101,TX,Texas,34.0777,-100.2788,1624
Taliaferro,13265,GA,Georgia,33.5661,-82.8788,1596
Wallace,20199,KS,Kansas,38.9167,-101.7636,1583
Irion,48235,TX,Texas,31.3039,-100.9824,1553
